reftrta,reftrtan,VISIT,VISITNUM,TRTA,TRTAN,PARAMCD,PARAM,lsmeans_difference,pval_interaction,lowerci95,upperci95,covariatestructure
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5198,0.00572852973287841,0.1513,0.8883,Unstructured
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3167,0.09103975471648000,-0.05066,0.6840,Unstructured
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2031,0.28280205752921000,-0.1677,0.5738,Unstructured
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4183,0.03158426566224520,0.03695,0.7996,Unstructured
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05068,0.80058768199499000,-0.3428,0.4442,Unstructured
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3676,0.06073254231613610,-0.01659,0.7517,Unstructured
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5122,0.01435260026073540,0.1023,0.9222,Unstructured
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3152,0.13414841409037000,-0.7276,0.09731,Unstructured
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8274,0.00004395157111664,0.4312,1.2236,Unstructured
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5723,0.00646170279043356,0.1606,0.9839,Unstructured
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1696,0.44234180474642000,-0.6025,0.2633,Unstructured
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7419,0.00047444941453690,0.3263,1.1574,Unstructured
