reftrta,reftrtan,VISIT,VISITNUM,TRTA,TRTAN,PARAMCD,PARAM,lsmeans_difference,pval_interaction,lowerci95,upperci95,covariatestructure
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5144,0.00639251243414181,0.1449,0.8839,Unstructured
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3196,0.08867806762207000,-0.04840,0.6876,Unstructured
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1948,0.30508776463788000,-0.1776,0.5671,Unstructured
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4187,0.03164319924851280,0.03686,0.8006,Unstructured
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04733,0.81417151363742000,-0.3475,0.4422,Unstructured
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3714,0.05916561628426760,-0.01439,0.7572,Unstructured
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5046,0.01614714061898240,0.09359,0.9156,Unstructured
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3109,0.14018380868302000,-0.7241,0.1023,Unstructured
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8155,0.00006083810844246,0.4176,1.2134,Unstructured
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5726,0.00650715451363537,0.1604,0.9848,Unstructured
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1622,0.46521169777204000,-0.5977,0.2733,Unstructured
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7348,0.00057828485145068,0.3168,1.1527,Unstructured
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6255,0.00458217953817515,0.1933,1.0577,Unstructured
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2408,0.28286540625574000,-0.1989,0.6805,Unstructured
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3847,0.07767647786105000,-0.04270,0.8121,Unstructured
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5348,0.02166625206262420,0.07840,0.9911,Unstructured
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1106,0.67371073938910000,-0.4044,0.6255,Unstructured
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4242,0.08045775477252000,-0.05148,0.8999,Unstructured
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5422,0.03389883079293650,0.04128,1.0430,Unstructured
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4430,0.14049195535214000,-0.1462,1.0321,Unstructured
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.09919,0.70127081730968000,-0.4079,0.6063,Unstructured
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05503,0.79712680018579000,-0.3648,0.4748,Unstructured
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08077,0.73784420699130000,-0.5540,0.3925,Unstructured
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1358,0.49393299373635000,-0.2535,0.5251,Unstructured
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.03782,0.90020568990781000,-0.6293,0.5536,Unstructured
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2601,0.45653583284549000,-0.9450,0.4249,Unstructured
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2222,0.44647398595996000,-0.3502,0.7947,Unstructured
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5144,0.00639251243414181,0.1449,0.8839,Toeplitz
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3196,0.08867806762207000,-0.04840,0.6876,Toeplitz
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1948,0.30508776463788000,-0.1776,0.5671,Toeplitz
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4187,0.03164319924851280,0.03686,0.8006,Toeplitz
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04733,0.81417151363742000,-0.3475,0.4422,Toeplitz
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3714,0.05916561628426760,-0.01439,0.7572,Toeplitz
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5046,0.01614714061898240,0.09359,0.9156,Toeplitz
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3109,0.14018380868302000,-0.7241,0.1023,Toeplitz
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8155,0.00006083810844246,0.4176,1.2134,Toeplitz
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5726,0.00650715451363537,0.1604,0.9848,Toeplitz
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1622,0.46521169777204000,-0.5977,0.2733,Toeplitz
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7348,0.00057828485145068,0.3168,1.1527,Toeplitz
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6255,0.00458217953817515,0.1933,1.0577,Toeplitz
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2408,0.28286540625574000,-0.1989,0.6805,Toeplitz
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3847,0.07767647786105000,-0.04270,0.8121,Toeplitz
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5348,0.02166625206262420,0.07840,0.9911,Toeplitz
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1106,0.67371073938910000,-0.4044,0.6255,Toeplitz
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4242,0.08045775477252000,-0.05148,0.8999,Toeplitz
