VISIT,VISITNUM,TRTA,TRTAN,PARAM,PARAMCD,comment,lsmeans,lsmeans_stderr,covariatestructure,Effect
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry,
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Toeplitz,
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Unstructured,
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry,
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,Toeplitz,
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,Unstructured,
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry,
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,_,Placebo,0,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN
,_,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN
,_,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN
UNSCHEDULED 1.1,1.1,Placebo,0,Eosinophils (GI/L),EOS,,0.03671,0.03655,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.02029,0.03679,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.02574,0.03656,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.2148,0.000868,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,-0.1558,0.000551,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.3,1.3,Placebo,0,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Placebo,0,Eosinophils (GI/L),EOS,,-0.01732,0.01014,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.02272,0.01043,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,-0.00496,0.01045,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 4.1,4.1,Placebo,0,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 4.1,4.1,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Placebo,0,Eosinophils (GI/L),EOS,,-0.01782,0.01105,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.02036,0.01170,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.02667,0.01172,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
