VISIT,VISITNUM,TRTA,TRTAN,PARAM,PARAMCD,comment,lsmeans,lsmeans_stderr,covariatestructure
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous Compound Symmetry
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous First Order Autoregressive
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Toeplitz
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Unstructured
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous Compound Symmetry
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous First Order Autoregressive
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,Toeplitz
,,,,Basophils (GI/L),BASO,Did not converge or Unable to make Hessian positive definite,,,Unstructured
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous Compound Symmetry
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous First Order Autoregressive
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,Toeplitz
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,Unstructured
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous Compound Symmetry
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous First Order Autoregressive
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,Toeplitz
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,Unstructured
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous Compound Symmetry
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous First Order Autoregressive
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,Toeplitz
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,Unstructured
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous Compound Symmetry
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous First Order Autoregressive
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,Toeplitz
