VISIT,VISITNUM,TRTA,TRTAN,PARAM,PARAMCD,comment,lsmeans,lsmeans_stderr,covariatestructure,Effect
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous Compound Symmetry,
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Heterogeneous First Order Autoregressive,
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Toeplitz,
,,,,Anisocytes,ANISO,Did not converge or Unable to make Hessian positive definite,,,Unstructured,
,_,Placebo,0,Basophils (GI/L),BASO,,,,Compound Symmetry,TRTAN
,_,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,,,Compound Symmetry,TRTAN
,_,Xanomeline High Dose,81,Basophils (GI/L),BASO,,,,Compound Symmetry,TRTAN
UNSCHEDULED 1.1,1.1,Placebo,0,Basophils (GI/L),BASO,,-0.00168,0.007135,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.00250,0.007289,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline High Dose,81,Basophils (GI/L),BASO,,0.002762,0.007330,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,0.000147,0.01208,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline High Dose,81,Basophils (GI/L),BASO,,-0.00479,0.01700,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.3,1.3,Placebo,0,Basophils (GI/L),BASO,,-0.00945,0.01793,Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Placebo,0,Basophils (GI/L),BASO,,-0.00798,0.002406,Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.00160,0.002429,Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Xanomeline High Dose,81,Basophils (GI/L),BASO,,-0.00485,0.002446,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 4.1,4.1,Placebo,0,Basophils (GI/L),BASO,,-0.01169,0.01785,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 4.1,4.1,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.00670,0.01675,Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Placebo,0,Basophils (GI/L),BASO,,-0.01298,0.002418,Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.00611,0.002537,Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Xanomeline High Dose,81,Basophils (GI/L),BASO,,-0.00614,0.002546,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 5.1,5.1,Placebo,0,Basophils (GI/L),BASO,,-0.01169,0.01785,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 5.1,5.1,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.02139,0.01680,Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Placebo,0,Basophils (GI/L),BASO,,-0.00983,0.002499,Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.00520,0.002679,Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Xanomeline High Dose,81,Basophils (GI/L),BASO,,0.000761,0.002605,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 7.1,7.1,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.00207,0.01215,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 7.1,7.1,Xanomeline High Dose,81,Basophils (GI/L),BASO,,0.01196,0.01681,Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Placebo,0,Basophils (GI/L),BASO,,-0.01058,0.002503,Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.00245,0.002704,Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Xanomeline High Dose,81,Basophils (GI/L),BASO,,0.004312,0.002734,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 8.2,8.2,Placebo,0,Basophils (GI/L),BASO,,-0.00056,0.01190,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 8.2,8.2,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.02618,0.01728,Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Placebo,0,Basophils (GI/L),BASO,,-0.01296,0.002600,Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Xanomeline Low Dose,54,Basophils (GI/L),BASO,,-0.00817,0.002780,Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Xanomeline High Dose,81,Basophils (GI/L),BASO,,-0.00101,0.002743,Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 9.2,9.2,Placebo,0,Basophils (GI/L),BASO,,-0.00597,0.01196,Compound Symmetry,TRTAN*VISITNUM
