VISIT,VISITNUM,TRTA,TRTAN,PARAMCD,PARAM,Effect,lsmeans,lsmeans_stderr,covariatestructure
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Compound Symmetry
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Compound Symmetry
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Compound Symmetry
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Compound Symmetry
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,First Order Autoregressive
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,First Order Autoregressive
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,First Order Autoregressive
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
