"PARAMCD","corr","weight","TRTA","VISIT","emmean","SE","df","lower.CL","upper.CL"
"ANISO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BASO","corCAR1","hetroscedastic","Placebo","Overall",-0.00971680174593245,0.00142723614241958,1433,-0.0125164978748761,-0.00691710561698876
"BASO","corCompSymm","hetroscedastic","Placebo","Overall",-0.0102363458611891,0.00176068723820252,1433,-0.0136901466013522,-0.00678254512102612
"BASO","corSymm","hetroscedastic","Placebo","Overall",-0.0103151044499378,0.00173097989378003,1443,-0.013710610753565,-0.00691959814631067
"BASO","corCAR1","hetroscedastic","Xanomeline Low Dose","Overall",-0.00573613647302763,0.00175440633718739,1433,-0.00917761646700459,-0.00229465647905067
"BASO","corCompSymm","hetroscedastic","Xanomeline Low Dose","Overall",-0.00576436502873332,0.00195337897659837,1433,-0.00959615389435938,-0.00193257616310725
"BASO","corSymm","hetroscedastic","Xanomeline Low Dose","Overall",-0.00604032878839172,0.00191863385094445,1443,-0.0098039388445477,-0.00227671873223573
"BASO","corCAR1","hetroscedastic","Xanomeline High Dose","Overall",-0.00242613511726477,0.0017333961749451,1433,-0.00582640113960105,0.000974130905071505
"BASO","corCompSymm","hetroscedastic","Xanomeline High Dose","Overall",-0.00206898858492439,0.00194593362904829,1433,-0.00588617250180017,0.00174819533195139
"BASO","corSymm","hetroscedastic","Xanomeline High Dose","Overall",-0.00223894851025872,0.0019177299498927,1443,-0.00600078546568136,0.00152288844516391
"BASO","corCAR1","hetroscedastic","Placebo","WEEK 2",-0.0079546995584965,0.00230960263168443,1433,-0.0124852641617464,-0.00342413495524661
"BASO","corCompSymm","hetroscedastic","Placebo","WEEK 2",-0.00790222993843246,0.00231309517277334,1433,-0.0124396455829895,-0.0033648142938754
"BASO","corSymm","hetroscedastic","Placebo","WEEK 2",-0.00779689346577242,0.00231565478157141,1443,-0.0123393034822629,-0.00325448344928189
"BASO","corCAR1","hetroscedastic","Xanomeline Low Dose","WEEK 2",-0.00139635355760295,0.00238269011665898,1433,-0.00607028809290248,0.00327758097769658
"BASO","corCompSymm","hetroscedastic","Xanomeline Low Dose","WEEK 2",-0.00146449912616649,0.00238078946810497,1433,-0.00613470530969508,0.00320570705736209
"BASO","corSymm","hetroscedastic","Xanomeline Low Dose","WEEK 2",-0.00145654759125057,0.00238408371509983,1443,-0.00613318844195307,0.00322009325945192
"BASO","corCAR1","hetroscedastic","Xanomeline High Dose","WEEK 2",-0.00483146786838919,0.00238644936023742,1433,-0.00951277661415153,-0.000150159122626858
"BASO","corCompSymm","hetroscedastic","Xanomeline High Dose","WEEK 2",-0.00487645285189591,0.00238615667349586,1433,-0.00955718745725289,-0.000195718246538925
"BASO","corSymm","hetroscedastic","Xanomeline High Dose","WEEK 2",-0.00485506522906786,0.00239050462190057,1443,-0.00954430139043529,-0.000165829067700431
"BASO","corCAR1","hetroscedastic","Placebo","WEEK 4",-0.0134756129796874,0.00234347776739324,1433,-0.0180726277543509,-0.00887859820502399
"BASO","corCompSymm","hetroscedastic","Placebo","WEEK 4",-0.0133491079105981,0.00234529025788055,1433,-0.0179496781043335,-0.00874853771686258
"BASO","corSymm","hetroscedastic","Placebo","WEEK 4",-0.0136384979151581,0.00237370190662387,1443,-0.0182947737135282,-0.00898222211678805
"BASO","corCAR1","hetroscedastic","Xanomeline Low Dose","WEEK 4",-0.00618197409144374,0.00247359144589982,1433,-0.0110342225665514,-0.00132972561633607
