"PARAMCD","weight","corr","contrast","VISIT","estimate","SE","df","lower.CL","upper.CL"
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 2",-0.00655834600089355,0.00331830313889631,1433,-0.0143435599403498,0.00122686793856268
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 2",-0.00312323169010731,0.00332146226084877,1433,-0.0109158573816643,0.00466939400144971
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 2",0.00343511431078624,0.00337243026720292,1433,-0.00447708961606926,0.0113473182376417
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 4",-0.0072936388882437,0.00340727285798295,1433,-0.0152875885182714,0.000700310741783956
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 4",-0.00762145823149138,0.00341126628550564,1433,-0.0156247770138582,0.000381860550875447
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 4",-0.000327819343247682,0.00350182392715075,1433,-0.0085435993097046,0.00788796062320923
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 6",-0.00419109215018933,0.00398960027281839,1433,-0.0135512652135626,0.00516908091318392
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 6",-0.00966934445788982,0.00394972053926852,1433,-0.0189359539604494,-0.000402734955330221
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 6",-0.00547825230770049,0.00413274680893288,1433,-0.0151742676258938,0.00421776301049282
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 8",-0.00755879571286795,0.00382213058020246,1433,-0.0165260609161644,0.00140846949042847
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 8",-0.0145456689231488,0.00383750652488871,1433,-0.023549008292636,-0.00554232955366171
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 8",-0.00698687321028088,0.00404261159066868,1433,-0.0164714184100751,0.00249767198951336
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 12",-0.00414475464109791,0.00402622012970692,1433,-0.0135908431282212,0.00530133384602541
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 12",-0.0125500732212968,0.00402209338151798,1433,-0.0219864797667227,-0.00311366667587085
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 12",-0.00840531858019884,0.004295408091613,1433,-0.0184829605407827,0.00167232338038504
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 16",-0.00367541070956102,0.00486950535470365,1433,-0.015099966989945,0.00774914557082294
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 16",-0.00734089083028705,0.00498801205631638,1433,-0.0190434807883359,0.00436169912776183
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 16",-0.00366548012072604,0.00551852653952843,1433,-0.0166127329612503,0.00928177271979826
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 20",0.00124588274401496,0.00494115839925811,1433,-0.0103467818308557,0.0128385473188856
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 20",0.0010314610286995,0.00489248119147465,1433,-0.0104469998520821,0.0125099219094811
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 20",-0.000214421715315453,0.00568667381087682,1433,-0.0135561721125694,0.0131273286819385
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 24",-0.00304655112613845,0.00511626085938227,1433,-0.0150500311257401,0.0089569288734632
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 24",-0.00333723773592869,0.00488431262820372,1433,-0.0147965339985363,0.00812205852667896
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 24",-0.000290686609790236,0.00583500216212568,1433,-0.0139804365415723,0.0133990633219919
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 26",-0.000603280971166412,0.00487095623084849,1433,-0.0120312412145744,0.0108246792722416
"BASO","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 26",-0.00845955559655874,0.00475278349258784,1433,-0.0196102656881085,0.00269115449499104
"BASO","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 26",-0.00785627462539233,0.00564446462823444,1433,-0.0210989962409691,0.00538644699018444
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 2",-0.00643773081226597,0.0033193672971614,1433,-0.0142254414192696,0.00134997979473763
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 2",-0.00302577708653656,0.00332383941250453,1433,-0.0108239799159957,0.00477242574292257
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 2",0.00341195372572941,0.00337091703527012,1433,-0.00449669994250178,0.0113206073939606
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 4",-0.0073509710291687,0.00341671804033305,1433,-0.0153670804083859,0.000665138350048458
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 4",-0.00738224582238037,0.00341910630370139,1433,-0.0154039584091672,0.000639466764406458
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 4",-3.12747932116759e-05,0.0035165492514754,1433,-0.00828160247740164,0.00821905289097829
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 6",-0.00499046784858589,0.00406054858625156,1433,-0.0145170958064039,0.00453616010923216
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 6",-0.0101021836749383,0.00402129931434903,1433,-0.0195367272251724,-0.000667640124704145
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 6",-0.00511171582635241,0.00419260106020046,1433,-0.0149481577818357,0.00472472612913089
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 8",-0.0083538288357042,0.00376514515844913,1433,-0.0171873980862169,0.000479740414808524
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 8",-0.0144990049618657,0.00377974585556845,1433,-0.0233668295368564,-0.00563118038687499
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 8",-0.00614517612616147,0.00396133474749834,1433,-0.0154390342229639,0.00314868197064096
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 12",-0.00503585182272664,0.00394567555722457,1433,-0.0142929712186639,0.00422126757321061
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 12",-0.0130411624777127,0.00393146103480401,1433,-0.0222649325702684,-0.0038173923851571
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 12",-0.00800531065498609,0.00416933530154959,1433,-0.0177871678118602,0.00177654650188806
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 16",-0.00414625153305299,0.0044211988658271,1433,-0.0145190166478139,0.00622651358170792
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 16",-0.00966600267677934,0.00450560495660251,1433,-0.0202367965571395,0.0009047912035808
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 16",-0.00551975114372636,0.00493746740804961,1433,-0.0171037561251229,0.00606425383767019
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 20",0.00111005253455179,0.00445981939783103,1433,-0.00935332187403218,0.0115734269431358
